date,visitor,home,visitor_points,home_points
2023-11-06,Sacramento Kings,Houston Rockets, 97,122 
2023-11-06,Boston Celtics,Minnesota Timberwolves, 109,114 
2023-11-06,Atlanta Hawks,Oklahoma City Thunder, 117,126 
2023-11-06,New Orleans Pelicans,Denver Nuggets, 116,134 
2023-11-08,Washington Wizards,Charlotte Hornets, 132,116 
2023-11-08,Utah Jazz,Indiana Pacers, 118,134 
2023-11-08,Boston Celtics,Philadelphia 76ers, 103,106 
2023-11-08,LA Clippers,Brooklyn Nets, 93,100 
2023-11-08,San Antonio Spurs,New York Knicks, 105,126 
2023-11-08,Phoenix Suns,Chicago Bulls, 116,115 
2023-11-08,Los Angeles Lakers,Houston Rockets, 94,128 
2023-11-08,Miami Heat,Memphis Grizzlies, 108,102 
2023-11-08,Detroit Pistons,Milwaukee Bucks, 118,120 
2023-11-08,New Orleans Pelicans,Minnesota Timberwolves, 101,122 
2023-11-08,Cleveland Cavaliers,Oklahoma City Thunder, 120,128 
2023-11-08,Toronto Raptors,Dallas Mavericks, 127,116 
2023-11-08,Golden State Warriors,Denver Nuggets, 105,108 
2023-11-08,Portland Trail Blazers,Sacramento Kings, 118,121 
2023-11-09,Milwaukee Bucks,Indiana Pacers, 124,126 
2023-11-09,Atlanta Hawks,Orlando Magic, 120,119 
2023-11-10,Philadelphia 76ers,Detroit Pistons, 114,106 
2023-11-10,Charlotte Hornets,Washington Wizards, 124,117 
2023-11-10,Brooklyn Nets,Boston Celtics, 107,121 
2023-11-10,New Orleans Pelicans,Houston Rockets, 101,104 
2023-11-10,Utah Jazz,Memphis Grizzlies, 127,121 
2023-11-10,Minnesota Timberwolves,San Antonio Spurs, 117,110 
2023-11-10,LA Clippers,Dallas Mavericks, 126,144 
2023-11-10,Los Angeles Lakers,Phoenix Suns, 122,119 
2023-11-10,Oklahoma City Thunder,Sacramento Kings, 98,105 
2023-11-11,Milwaukee Bucks,Orlando Magic, 97,112 
2023-11-11,Toronto Raptors,Boston Celtics, 94,117 
2023-11-11,Miami Heat,Atlanta Hawks, 117,109 
2023-11-11,Cleveland Cavaliers,Golden State Warriors, 118,110 
2023-11-12,Charlotte Hornets,New York Knicks, 107,129 
2023-11-12,Washington Wizards,Brooklyn Nets, 94,102 
2023-11-12,Memphis Grizzlies,LA Clippers, 105,101 
2023-11-12,Indiana Pacers,Philadelphia 76ers, 126,137 
2023-11-12,Detroit Pistons,Chicago Bulls, 108,119 
2023-11-12,Denver Nuggets,Houston Rockets, 104,107 
2023-11-12,Dallas Mavericks,New Orleans Pelicans, 136,124 
2023-11-12,Miami Heat,San Antonio Spurs, 118,113 
2023-11-12,Oklahoma City Thunder,Phoenix Suns, 111,99 
2023-11-12,Minnesota Timberwolves,Golden State Warriors, 116,110 
2023-11-12,Portland Trail Blazers,Los Angeles Lakers, 110,116 
2023-11-13,New York Knicks,Boston Celtics, 98,114 
2023-11-13,Washington Wizards,Toronto Raptors, 107,111 
2023-11-13,Chicago Bulls,Milwaukee Bucks, 109,118 
2023-11-13,Cleveland Cavaliers,Sacramento Kings, 120,132 
2023-11-14,Miami Heat,Charlotte Hornets, 111,105 
2023-11-14,Atlanta Hawks,Detroit Pistons, 126,120 
2023-11-14,Indiana Pacers,Philadelphia 76ers, 132,126 
2023-11-14,Orlando Magic,Brooklyn Nets, 104,124 
2023-11-14,San Antonio Spurs,Oklahoma City Thunder, 87,123 
2023-11-14,Dallas Mavericks,New Orleans Pelicans, 110,131 
2023-11-14,Portland Trail Blazers,Utah Jazz, 99,115 
2023-11-14,LA Clippers,Denver Nuggets, 108,111 
2023-11-14,Minnesota Timberwolves,Golden State Warriors, 104,101 
2023-11-14,Memphis Grizzlies,Los Angeles Lakers, 107,134 
2023-11-15,Dallas Mavericks,Washington Wizards, 130,117 
2023-11-15,New York Knicks,Atlanta Hawks, 116,114 
2023-11-15,Boston Celtics,Philadelphia 76ers, 117,107 
2023-11-15,Milwaukee Bucks,Toronto Raptors, 128,112 
2023-11-15,Orlando Magic,Chicago Bulls, 96,94 
2023-11-15,Minnesota Timberwolves,Phoenix Suns, 115,133 
2023-11-15,Sacramento Kings,Los Angeles Lakers, 125,110 
2023-11-15,Cleveland Cavaliers,Portland Trail Blazers, 109,95 
2023-11-16,Brooklyn Nets,Miami Heat, 115,122 
2023-11-16,Oklahoma City Thunder,Golden State Warriors, 128,109 
2023-11-17,Milwaukee Bucks,Charlotte Hornets, 130,99 
2023-11-17,New York Knicks,Washington Wizards, 120,99 
2023-11-17,Philadelphia 76ers,Atlanta Hawks, 126,116 
2023-11-17,Detroit Pistons,Cleveland Cavaliers, 100,108 
2023-11-17,Boston Celtics,Toronto Raptors, 108,105 
2023-11-17,Sacramento Kings,San Antonio Spurs, 129,120 
2023-11-17,Orlando Magic,Chicago Bulls, 103,97 
2023-11-17,Denver Nuggets,New Orleans Pelicans, 110,115 
2023-11-17,Phoenix Suns,Utah Jazz, 131,128 
2023-11-17,Los Angeles Lakers,Portland Trail Blazers, 107,95 
2023-11-17,Houston Rockets,LA Clippers, 100,106 
2023-11-18,New York Knicks,Charlotte Hornets, 122,108 
2023-11-18,Minnesota Timberwolves,New Orleans Pelicans, 121,120 
2023-11-18,Miami Heat,Chicago Bulls, 97,102 
2023-11-18,Dallas Mavericks,Milwaukee Bucks, 125,132 
2023-11-18,Memphis Grizzlies,San Antonio Spurs, 120,108 
2023-11-18,Oklahoma City Thunder,Golden State Warriors, 130,123 
2023-11-19,Philadelphia 76ers,Brooklyn Nets, 121,99 
2023-11-19,Detroit Pistons,Toronto Raptors, 113,142 
2023-11-19,Orlando Magic,Indiana Pacers, 128,116 
2023-11-19,Denver Nuggets,Cleveland Cavaliers, 109,121 
2023-11-19,Sacramento Kings,Dallas Mavericks, 129,113 
2023-11-19,Boston Celtics,Memphis Grizzlies, 102,100 
2023-11-19,Phoenix Suns,Utah Jazz, 140,137 
2023-11-19,Oklahoma City Thunder,Portland Trail Blazers, 134,91 
2023-11-19,Houston Rockets,Los Angeles Lakers, 104,105 
2023-11-20,Boston Celtics,Charlotte Hornets, 118,121 
2023-11-20,Denver Nuggets,Detroit Pistons, 107,103 
2023-11-20,Milwaukee Bucks,Washington Wizards, 142,129 
2023-11-20,Miami Heat,Chicago Bulls, 118,100 
2023-11-20,New York Knicks,Minnesota Timberwolves, 100,117 
2023-11-20,Sacramento Kings,New Orleans Pelicans, 93,129 
2023-11-20,LA Clippers,San Antonio Spurs, 124,99 
2023-11-20,Houston Rockets,Golden State Warriors, 116,121 
2023-11-21,Toronto Raptors,Orlando Magic, 107,126 
2023-11-21,Indiana Pacers,Atlanta Hawks, 157,152 
2023-11-21,Cleveland Cavaliers,Philadelphia 76ers, 122,119 
2023-11-21,Portland Trail Blazers,Phoenix Suns, 107,120 
2023-11-21,Utah Jazz,Los Angeles Lakers, 99,131 
