date,visitor,home,visitor_points,home_points
2015-10-23,Memphis Grizzlies,Orlando Magic,76.0,86.0
2015-10-23,Philadelphia 76ers,Boston Celtics,65.0,81.0
2015-10-23,Dallas Mavericks,Chicago Bulls,102.0,103.0
2015-10-23,Houston Rockets,San Antonio Spurs,86.0,111.0
2015-10-23,Washington Wizards,Toronto Raptors,82.0,92.0
2015-10-23,Atlanta Hawks,Detroit Pistons,87.0,115.0
2015-10-23,Miami Heat,New Orleans Pelicans,90.0,93.0
2015-10-27,Cleveland Cavaliers,Chicago Bulls,95.0,97.0
2015-10-27,New Orleans Pelicans,Golden State Warriors,95.0,111.0
2015-10-27,Detroit Pistons,Atlanta Hawks,106.0,94.0
2015-10-28,Cleveland Cavaliers,Memphis Grizzlies,106.0,76.0
2015-10-28,Washington Wizards,Orlando Magic,88.0,87.0
2015-10-28,Dallas Mavericks,Phoenix Suns,111.0,95.0
2015-10-28,LA Clippers,Sacramento Kings,111.0,104.0
2015-10-28,Charlotte Hornets,Miami Heat,94.0,104.0
2015-10-28,Philadelphia 76ers,Boston Celtics,95.0,112.0
2015-10-28,Minnesota Timberwolves,Los Angeles Lakers,112.0,111.0
2015-10-28,New York Knicks,Milwaukee Bucks,122.0,97.0
2015-10-28,Chicago Bulls,Brooklyn Nets,115.0,100.0
2015-10-28,Denver Nuggets,Houston Rockets,105.0,85.0
2015-10-28,Utah Jazz,Detroit Pistons,87.0,92.0
2015-10-28,Indiana Pacers,Toronto Raptors,99.0,106.0
2015-10-28,San Antonio Spurs,Oklahoma City Thunder,106.0,112.0
2015-10-28,New Orleans Pelicans,Portland Trail Blazers,94.0,112.0
2015-10-29,Memphis Grizzlies,Indiana Pacers,112.0,103.0
2015-10-29,Dallas Mavericks,LA Clippers,88.0,104.0
2015-10-29,Atlanta Hawks,New York Knicks,112.0,101.0
2015-10-30,Charlotte Hornets,Atlanta Hawks,94.0,97.0
2015-10-30,Chicago Bulls,Detroit Pistons,94.0,98.0
2015-10-30,Minnesota Timberwolves,Denver Nuggets,95.0,78.0
2015-10-30,Utah Jazz,Philadelphia 76ers,99.0,71.0
2015-10-30,Washington Wizards,Milwaukee Bucks,118.0,113.0
2015-10-30,Golden State Warriors,Houston Rockets,112.0,92.0
2015-10-30,Toronto Raptors,Boston Celtics,113.0,103.0
2015-10-30,Portland Trail Blazers,Phoenix Suns,92.0,110.0
2015-10-30,Oklahoma City Thunder,Orlando Magic,139.0,136.0
2015-10-30,Miami Heat,Cleveland Cavaliers,92.0,102.0
2015-10-30,Los Angeles Lakers,Sacramento Kings,114.0,132.0
2015-10-30,Brooklyn Nets,San Antonio Spurs,75.0,102.0
2015-10-31,Golden State Warriors,New Orleans Pelicans,134.0,120.0
2015-10-31,Sacramento Kings,LA Clippers,109.0,114.0
2015-10-31,New York Knicks,Washington Wizards,117.0,110.0
2015-10-31,Utah Jazz,Indiana Pacers,97.0,76.0
2015-10-31,Phoenix Suns,Portland Trail Blazers,101.0,90.0
2015-10-31,Brooklyn Nets,Memphis Grizzlies,91.0,101.0
2015-11-01,Milwaukee Bucks,Toronto Raptors,87.0,106.0
2015-11-01,Denver Nuggets,Oklahoma City Thunder,93.0,117.0
2015-11-01,Atlanta Hawks,Charlotte Hornets,94.0,92.0
2015-11-01,San Antonio Spurs,Boston Celtics,95.0,87.0
2015-11-01,Orlando Magic,Chicago Bulls,87.0,92.0
2015-11-01,Dallas Mavericks,Los Angeles Lakers,103.0,93.0
2015-11-01,Houston Rockets,Miami Heat,89.0,109.0
2015-11-02,Phoenix Suns,LA Clippers,96.0,102.0
2015-11-02,San Antonio Spurs,New York Knicks,94.0,84.0
2015-11-02,Oklahoma City Thunder,Houston Rockets,105.0,110.0
2015-11-02,Memphis Grizzlies,Golden State Warriors,69.0,119.0
2015-11-02,Cleveland Cavaliers,Philadelphia 76ers,107.0,100.0
2015-11-02,Portland Trail Blazers,Minnesota Timberwolves,106.0,101.0
2015-11-02,Milwaukee Bucks,Brooklyn Nets,103.0,96.0
2015-11-03,Memphis Grizzlies,Sacramento Kings,103.0,89.0
2015-11-03,Chicago Bulls,Charlotte Hornets,105.0,130.0
2015-11-03,Toronto Raptors,Dallas Mavericks,102.0,91.0
2015-11-03,Orlando Magic,New Orleans Pelicans,103.0,94.0
2015-11-03,Denver Nuggets,Los Angeles Lakers,120.0,109.0
2015-11-03,Indiana Pacers,Detroit Pistons,94.0,82.0
2015-11-03,Atlanta Hawks,Miami Heat,98.0,92.0
2015-11-04,Portland Trail Blazers,Utah Jazz,108.0,92.0
2015-11-04,San Antonio Spurs,Washington Wizards,99.0,102.0
2015-11-04,Brooklyn Nets,Atlanta Hawks,87.0,101.0
2015-11-04,LA Clippers,Golden State Warriors,108.0,112.0
2015-11-04,Toronto Raptors,Oklahoma City Thunder,103.0,98.0
2015-11-04,Boston Celtics,Indiana Pacers,98.0,100.0
2015-11-04,Orlando Magic,Houston Rockets,114.0,119.0
2015-11-04,Sacramento Kings,Phoenix Suns,97.0,118.0
2015-11-04,New York Knicks,Cleveland Cavaliers,86.0,96.0
2015-11-04,Philadelphia 76ers,Milwaukee Bucks,87.0,91.0
2015-11-05,Charlotte Hornets,Dallas Mavericks,108.0,94.0
2015-11-05,Oklahoma City Thunder,Chicago Bulls,98.0,104.0
2015-11-05,Utah Jazz,Denver Nuggets,96.0,84.0
2015-11-05,Miami Heat,Minnesota Timberwolves,96.0,84.0
2015-11-05,Memphis Grizzlies,Portland Trail Blazers,96.0,115.0
2015-11-06,Detroit Pistons,Phoenix Suns,100.0,92.0
2015-11-06,Milwaukee Bucks,New York Knicks,99.0,92.0
2015-11-06,Philadelphia 76ers,Cleveland Cavaliers,102.0,108.0
2015-11-06,Miami Heat,Indiana Pacers,87.0,90.0
2015-11-06,Atlanta Hawks,New Orleans Pelicans,121.0,115.0
2015-11-06,Washington Wizards,Boston Celtics,98.0,118.0
2015-11-06,Houston Rockets,Sacramento Kings,116.0,110.0
2015-11-06,Los Angeles Lakers,Brooklyn Nets,104.0,98.0
2015-11-06,Denver Nuggets,Golden State Warriors,104.0,119.0
2015-11-06,Toronto Raptors,Orlando Magic,87.0,92.0
2015-11-07,Washington Wizards,Atlanta Hawks,99.0,114.0
2015-11-07,Orlando Magic,Philadelphia 76ers,105.0,97.0
2015-11-07,Minnesota Timberwolves,Chicago Bulls,102.0,93.0
2015-11-07,Charlotte Hornets,San Antonio Spurs,94.0,114.0
2015-11-07,Houston Rockets,LA Clippers,109.0,105.0
2015-11-07,Golden State Warriors,Sacramento Kings,103.0,94.0
2015-11-07,Brooklyn Nets,Milwaukee Bucks,86.0,94.0
2015-11-07,Memphis Grizzlies,Utah Jazz,79.0,89.0
2015-11-07,New Orleans Pelicans,Dallas Mavericks,98.0,107.0
2015-11-08,Los Angeles Lakers,New York Knicks,95.0,99.0
2015-11-08,Toronto Raptors,Miami Heat,76.0,96.0
2015-11-08,Detroit Pistons,Portland Trail Blazers,120.0,103.0
2015-11-08,Phoenix Suns,Oklahoma City Thunder,103.0,124.0
2015-11-08,Indiana Pacers,Cleveland Cavaliers,97.0,101.0
2015-11-09,Memphis Grizzlies,LA Clippers,92.0,94.0
2015-11-09,Orlando Magic,Indiana Pacers,84.0,97.0
2015-11-09,Chicago Bulls,Philadelphia 76ers,111.0,88.0
2015-11-09,San Antonio Spurs,Sacramento Kings,106.0,88.0
2015-11-09,Minnesota Timberwolves,Atlanta Hawks,117.0,107.0
2015-11-09,Portland Trail Blazers,Denver Nuggets,104.0,108.0
2015-11-09,Detroit Pistons,Golden State Warriors,95.0,109.0
2015-11-10,Los Angeles Lakers,Miami Heat,88.0,101.0
2015-11-10,Dallas Mavericks,New Orleans Pelicans,105.0,120.0
