visitor_fastBreakPoints,visitor_pointsInPaint,visitor_biggestLead,visitor_secondChancePoints,visitor_pointsOffTurnovers,visitor_longestRun,visitor_points,visitor_fgm,visitor_fga,visitor_fgp,visitor_ftm,visitor_fta,visitor_ftp,visitor_tpm,visitor_tpa,visitor_tpp,visitor_offReb,visitor_defReb,visitor_totReb,visitor_assists,visitor_pFouls,visitor_steals,visitor_turnovers,visitor_blocks,visitor_plusMinus,visitor_min,game_id,visitor_team,home_fastBreakPoints,home_pointsInPaint,home_biggestLead,home_secondChancePoints,home_pointsOffTurnovers,home_longestRun,home_points,home_fgm,home_fga,home_fgp,home_ftm,home_fta,home_ftp,home_tpm,home_tpa,home_tpp,home_offReb,home_defReb,home_totReb,home_assists,home_pFouls,home_steals,home_turnovers,home_blocks,home_plusMinus,home_min,home_team
15.0,48.0,25.0,5.0,23.0,15.0,120.0,40.0,86.0,46.5,26.0,31.0,83.9,14.0,33.0,42.4,11.0,32.0,43.0,21.0,16.0,7.0,14.0,6.0,10,240:00,9318,Miami Heat,6.0,50.0,4.0,21.0,13.0,13.0,110.0,41.0,93.0,44.1,14.0,17.0,82.4,14.0,42.0,33.3,15.0,31.0,46.0,21.0,27.0,9.0,18.0,4.0,-10,240:00,Houston Rockets
10.0,40.0,8.0,18.0,12.0,11.0,121.0,43.0,97.0,44.3,19.0,21.0,90.5,16.0,38.0,42.1,14.0,30.0,44.0,23.0,23.0,8.0,2.0,4.0,3,240:00,9319,Atlanta Hawks,7.0,68.0,16.0,6.0,5.0,11.0,118.0,48.0,84.0,57.1,14.0,24.0,58.3,8.0,25.0,32.0,8.0,38.0,46.0,27.0,18.0,1.0,9.0,8.0,-3,240:00,Cleveland Cavaliers
14.0,36.0,7.0,3.0,6.0,16.0,108.0,38.0,78.0,48.7,17.0,19.0,89.5,15.0,34.0,44.1,3.0,34.0,37.0,27.0,24.0,6.0,12.0,7.0,-8,240:00,9320,LA Clippers,7.0,46.0,15.0,21.0,12.0,18.0,116.0,40.0,96.0,41.7,25.0,33.0,75.8,11.0,35.0,31.4,18.0,36.0,54.0,19.0,18.0,8.0,7.0,4.0,8,240:00,Toronto Raptors
4.0,36.0,9.0,3.0,8.0,10.0,80.0,30.0,81.0,37.0,12.0,22.0,54.5,8.0,41.0,19.5,5.0,43.0,48.0,12.0,12.0,6.0,10.0,3.0,-15,240:00,10101,New York Knicks,3.0,32.0,17.0,13.0,10.0,10.0,95.0,36.0,87.0,41.4,5.0,7.0,71.4,18.0,43.0,41.9,7.0,42.0,49.0,21.0,17.0,6.0,9.0,3.0,15,240:00,Oklahoma City Thunder
16.0,48.0,5.0,12.0,6.0,10.0,105.0,39.0,90.0,43.3,15.0,24.0,62.5,12.0,35.0,34.3,11.0,36.0,47.0,24.0,15.0,3.0,11.0,8.0,-13,240:00,10100,San Antonio Spurs,14.0,72.0,19.0,18.0,13.0,9.0,118.0,49.0,102.0,48.0,10.0,16.0,62.5,10.0,26.0,38.5,16.0,42.0,58.0,28.0,18.0,7.0,9.0,11.0,13,240:00,Memphis Grizzlies
7.0,42.0,3.0,10.0,21.0,20.0,108.0,40.0,93.0,43.0,14.0,22.0,63.6,14.0,41.0,34.1,11.0,30.0,41.0,23.0,30.0,9.0,10.0,5.0,-12,240:00,10102,Minnesota Timberwolves,4.0,46.0,21.0,17.0,8.0,22.0,120.0,37.0,78.0,47.4,35.0,41.0,85.4,11.0,29.0,37.9,10.0,39.0,49.0,18.0,20.0,4.0,17.0,5.0,12,240:00,Utah Jazz
18.0,42.0,0.0,27.0,11.0,10.0,106.0,36.0,102.0,35.3,22.0,27.0,81.5,12.0,42.0,28.6,21.0,33.0,54.0,19.0,22.0,4.0,9.0,2.0,-33,240:00,10103,Portland Trail Blazers,16.0,50.0,35.0,2.0,11.0,10.0,139.0,47.0,85.0,55.3,26.0,30.0,86.7,19.0,41.0,46.3,5.0,42.0,47.0,27.0,21.0,6.0,7.0,9.0,33,240:00,Los Angeles Lakers
22.0,44.0,7.0,19.0,18.0,10.0,113.0,39.0,95.0,41.1,19.0,30.0,63.3,16.0,51.0,31.4,14.0,36.0,50.0,28.0,16.0,10.0,15.0,5.0,-23,240:00,10104,New Orleans Pelicans,20.0,42.0,25.0,11.0,18.0,9.0,136.0,49.0,92.0,53.3,15.0,18.0,83.3,23.0,48.0,47.9,4.0,44.0,48.0,27.0,20.0,10.0,13.0,4.0,23,240:00,Milwaukee Bucks
0.0,30.0,3.0,6.0,14.0,8.0,120.0,41.0,84.0,48.8,21.0,25.0,84.0,17.0,34.0,50.0,6.0,38.0,44.0,17.0,24.0,4.0,15.0,4.0,1,240:00,10106,Chicago Bulls,9.0,72.0,13.0,6.0,13.0,8.0,119.0,46.0,87.0,52.9,21.0,26.0,80.8,6.0,27.0,22.2,6.0,37.0,43.0,26.0,22.0,9.0,11.0,3.0,-1,240:00,Washington Wizards
8.0,52.0,17.0,23.0,19.0,10.0,116.0,42.0,102.0,41.2,20.0,28.0,71.4,12.0,40.0,30.0,13.0,35.0,48.0,30.0,27.0,8.0,16.0,3.0,-1,265:00,10105,San Antonio Spurs,4.0,48.0,9.0,27.0,14.0,10.0,117.0,41.0,101.0,40.6,26.0,33.0,78.8,9.0,35.0,25.7,22.0,41.0,63.0,18.0,23.0,12.0,20.0,6.0,1,265:00,Detroit Pistons
21.0,44.0,10.0,9.0,17.0,13.0,120.0,42.0,86.0,48.8,22.0,31.0,71.0,14.0,36.0,38.9,7.0,33.0,40.0,23.0,19.0,7.0,10.0,6.0,4,240:00,10107,LA Clippers,5.0,44.0,13.0,15.0,9.0,11.0,116.0,42.0,97.0,43.3,21.0,25.0,84.0,11.0,33.0,33.3,17.0,40.0,57.0,26.0,20.0,9.0,14.0,2.0,-4,240:00,Brooklyn Nets
15.0,62.0,31.0,18.0,26.0,14.0,124.0,46.0,86.0,53.5,22.0,27.0,81.5,10.0,32.0,31.2,13.0,33.0,46.0,33.0,23.0,10.0,18.0,6.0,13,240:00,10108,Denver Nuggets,4.0,42.0,11.0,14.0,16.0,12.0,111.0,37.0,85.0,43.5,21.0,24.0,87.5,16.0,42.0,38.1,13.0,23.0,36.0,20.0,24.0,10.0,17.0,4.0,-13,240:00,Houston Rockets
11.0,38.0,16.0,7.0,25.0,9.0,123.0,46.0,86.0,53.5,14.0,21.0,66.7,17.0,32.0,53.1,7.0,33.0,40.0,39.0,24.0,10.0,15.0,2.0,7,240:00,10109,Golden State Warriors,8.0,52.0,8.0,25.0,13.0,12.0,116.0,40.0,92.0,43.5,22.0,28.0,78.6,14.0,44.0,31.8,15.0,30.0,45.0,19.0,21.0,7.0,13.0,0.0,-7,240:00,Utah Jazz
8.0,36.0,1.0,12.0,18.0,9.0,105.0,35.0,78.0,44.9,23.0,28.0,82.1,12.0,36.0,33.3,7.0,23.0,30.0,22.0,26.0,11.0,17.0,4.0,-15,240:00,10110,New York Knicks,20.0,52.0,25.0,13.0,27.0,11.0,120.0,41.0,86.0,47.7,25.0,30.0,83.3,13.0,34.0,38.2,11.0,33.0,44.0,21.0,27.0,9.0,16.0,5.0,15,240:00,Toronto Raptors
6.0,54.0,8.0,18.0,20.0,8.0,113.0,46.0,105.0,43.8,12.0,12.0,100,9.0,33.0,27.3,18.0,31.0,49.0,26.0,18.0,4.0,9.0,3.0,-2,240:00,10113,Miami Heat,11.0,46.0,11.0,11.0,12.0,13.0,115.0,40.0,78.0,51.3,22.0,27.0,81.5,13.0,34.0,38.2,7.0,32.0,39.0,31.0,18.0,3.0,16.0,2.0,2,240:00,Sacramento Kings
5.0,54.0,14.0,11.0,21.0,11.0,111.0,40.0,95.0,42.1,22.0,27.0,81.5,9.0,27.0,33.3,10.0,35.0,45.0,17.0,24.0,12.0,14.0,3.0,-5,265:00,10111,Orlando Magic,20.0,48.0,14.0,11.0,20.0,11.0,116.0,39.0,86.0,45.3,25.0,28.0,89.3,13.0,36.0,36.1,9.0,37.0,46.0,25.0,23.0,5.0,21.0,10.0,5,265:00,Boston Celtics
4.0,26.0,11.0,7.0,12.0,15.0,104.0,37.0,83.0,44.6,11.0,14.0,78.6,19.0,46.0,41.3,9.0,30.0,39.0,24.0,24.0,6.0,14.0,6.0,-4,240:00,10112,Indiana Pacers,0.0,58.0,9.0,5.0,14.0,17.0,108.0,41.0,88.0,46.6,20.0,28.0,71.4,6.0,26.0,23.1,12.0,36.0,48.0,26.0,11.0,6.0,8.0,4.0,4,240:00,Cleveland Cavaliers
4.0,40.0,15.0,6.0,9.0,9.0,95.0,38.0,85.0,44.7,5.0,7.0,71.4,14.0,39.0,35.9,7.0,41.0,48.0,28.0,12.0,9.0,16.0,3.0,9,240:00,10115,Dallas Mavericks,14.0,46.0,6.0,9.0,14.0,8.0,86.0,35.0,85.0,41.2,6.0,9.0,66.7,10.0,30.0,33.3,7.0,34.0,41.0,20.0,16.0,11.0,11.0,4.0,-9,240:00,Oklahoma City Thunder
21.0,58.0,43.0,24.0,22.0,10.0,133.0,52.0,103.0,50.5,12.0,12.0,100,17.0,41.0,41.5,14.0,39.0,53.0,36.0,21.0,15.0,17.0,4.0,34,240:00,10114,Phoenix Suns,16.0,56.0,0.0,7.0,15.0,12.0,99.0,39.0,85.0,45.9,12.0,21.0,57.1,9.0,35.0,25.7,5.0,29.0,34.0,27.0,15.0,10.0,17.0,9.0,-34,240:00,Charlotte Hornets
7.0,58.0,6.0,20.0,16.0,9.0,103.0,41.0,92.0,44.6,12.0,16.0,75.0,9.0,38.0,23.7,20.0,36.0,56.0,21.0,22.0,9.0,23.0,2.0,-5,240:00,10116,Minnesota Timberwolves,6.0,32.0,10.0,7.0,21.0,10.0,108.0,36.0,75.0,48.0,23.0,29.0,79.3,13.0,41.0,31.7,4.0,24.0,28.0,20.0,16.0,13.0,15.0,5.0,5,240:00,Los Angeles Lakers
25.0,44.0,4.0,14.0,15.0,8.0,113.0,37.0,89.0,41.6,24.0,33.0,72.7,15.0,44.0,34.1,11.0,31.0,42.0,25.0,16.0,6.0,11.0,4.0,-20,240:00,10117,Houston Rockets,16.0,48.0,26.0,17.0,19.0,10.0,133.0,50.0,96.0,52.1,16.0,17.0,94.1,17.0,40.0,42.5,12.0,42.0,54.0,33.0,21.0,7.0,12.0,7.0,20,240:00,Philadelphia 76ers
10.0,56.0,14.0,21.0,28.0,13.0,121.0,50.0,104.0,48.1,7.0,13.0,53.8,14.0,38.0,36.8,13.0,32.0,45.0,28.0,22.0,14.0,8.0,5.0,-3,240:00,10118,Charlotte Hornets,4.0,46.0,13.0,13.0,8.0,11.0,124.0,40.0,87.0,46.0,28.0,31.0,90.3,16.0,38.0,42.1,10.0,41.0,51.0,26.0,12.0,5.0,15.0,4.0,3,240:00,Washington Wizards
13.0,62.0,28.0,29.0,18.0,10.0,118.0,48.0,102.0,47.1,12.0,21.0,57.1,10.0,35.0,28.6,23.0,38.0,61.0,24.0,21.0,11.0,12.0,5.0,14,240:00,10119,Memphis Grizzlies,21.0,52.0,0.0,8.0,13.0,12.0,104.0,37.0,82.0,45.1,21.0,26.0,80.8,9.0,31.0,29.0,8.0,25.0,33.0,28.0,20.0,10.0,12.0,10.0,-14,240:00,Brooklyn Nets
16.0,44.0,13.0,21.0,14.0,13.0,115.0,44.0,91.0,48.4,9.0,14.0,64.3,18.0,43.0,41.9,9.0,38.0,47.0,31.0,21.0,6.0,13.0,1.0,9,240:00,10121,Detroit Pistons,11.0,52.0,6.0,11.0,16.0,13.0,106.0,39.0,92.0,42.4,17.0,22.0,77.3,11.0,46.0,23.9,11.0,36.0,47.0,21.0,12.0,9.0,8.0,2.0,-9,240:00,Milwaukee Bucks
0.0,38.0,15.0,9.0,14.0,8.0,115.0,41.0,85.0,48.2,14.0,17.0,82.4,19.0,39.0,48.7,10.0,33.0,43.0,22.0,24.0,6.0,14.0,4.0,11,240:00,10122,Utah Jazz,8.0,50.0,6.0,29.0,19.0,8.0,104.0,39.0,97.0,40.2,14.0,22.0,63.6,12.0,46.0,26.1,17.0,30.0,47.0,21.0,21.0,7.0,10.0,5.0,-11,240:00,New Orleans Pelicans
8.0,42.0,11.0,10.0,13.0,8.0,98.0,36.0,85.0,42.4,16.0,18.0,88.9,10.0,27.0,37.0,5.0,39.0,44.0,24.0,17.0,5.0,13.0,2.0,-4,240:00,10120,Orlando Magic,8.0,34.0,9.0,16.0,17.0,8.0,102.0,37.0,86.0,43.0,17.0,23.0,73.9,11.0,31.0,35.5,10.0,39.0,49.0,17.0,16.0,10.0,13.0,4.0,4,240:00,Chicago Bulls
10.0,44.0,2.0,12.0,14.0,11.0,89.0,31.0,67.0,46.3,21.0,29.0,72.4,6.0,25.0,24.0,11.0,36.0,47.0,21.0,24.0,6.0,25.0,1.0,-14,240:00,10123,Denver Nuggets,2.0,34.0,17.0,2.0,28.0,13.0,103.0,35.0,78.0,44.9,19.0,21.0,90.5,14.0,37.0,37.8,5.0,23.0,28.0,23.0,21.0,12.0,11.0,5.0,14,240:00,Dallas Mavericks
