home_team,visitor_team,home_points,visitor_ORtg,home_ORtg,visitor_DRtg,home_DRtg,visitor_ts%,home_ts%,home_win
Indiana Pacers,Milwaukee Bucks,109.0,98.07928075194116,113.77870563674321,111.36085002043319,100.20876826722338,0.5589194224499302,0.6207289293849658,1
Brooklyn Nets,Toronto Raptors,113.0,96.51202167287504,96.31776338220253,95.66542499153402,97.17013296965565,0.5129589632829373,0.5030270655270656,0
Minnesota Timberwolves,Cleveland Cavaliers,127.0,103.08204914618908,130.2831350020517,132.2365680966264,101.55929421419778,0.5437170474516696,0.59080759211016,1
New Orleans Pelicans,Detroit Pistons,112.0,106.1550447993767,114.00651465798046,109.0767432800935,110.9527687296417,0.5307752239968835,0.6137658921525647,1
Chicago Bulls,Houston Rockets,107.0,114.21819614021267,104.98430141287285,105.35643954312721,113.81475667189953,0.6006628003314002,0.569633730834753,0
Sacramento Kings,San Antonio Spurs,100.0,109.49652067130577,100.96930533117931,102.3331968890708,108.03715670436188,0.5589218554116172,0.5615453728661275,0
Golden State Warriors,Denver Nuggets,124.0,113.95441823270691,123.70311252992818,123.95041983206715,113.7270550678372,0.5586044688357507,0.6578947368421053,1
LA Clippers,Atlanta Hawks,108.0,103.12259059367773,105.92389172224401,104.08635312259058,104.94311494703805,0.49190878999632215,0.5402160864345738,1
Toronto Raptors,Miami Heat,89.0,95.33898305084745,94.08033826638479,94.27966101694915,95.13742071881607,0.4437869822485207,0.4606625258799172,0
Oklahoma City Thunder,Portland Trail Blazers,106.0,117.65888978278358,107.67980495733443,106.59694288012874,118.85412433969931,0.6328429251406318,0.5553227158424141,0
Dallas Mavericks,Orlando Magic,114.0,106.81916271040137,124.3455497382199,123.00388433318945,107.98429319371728,0.5581867388362651,0.6150194216659473,1
Los Angeles Lakers,Sacramento Kings,99.0,81.99847444698703,96.83098591549296,94.39359267734554,84.11580594679187,0.4348705501618123,0.5739795918367347,1
Washington Wizards,Utah Jazz,104.0,108.38735818476499,104.5436268596703,105.3484602917342,107.55930840369923,0.5474826033565289,0.6083294337856808,0
Indiana Pacers,Miami Heat,106.0,114.87303506650545,104.16666666666666,106.8117694478033,112.02830188679245,0.6316489361702128,0.5312750601443464,0
Charlotte Hornets,Dallas Mavericks,111.0,114.63317384370018,106.52591170825336,110.64593301435409,110.36468330134358,0.6032312211498112,0.5709876543209876,0
Brooklyn Nets,Detroit Pistons,80.0,113.6816912644595,83.68200836820084,79.77662544874352,119.24686192468621,0.5799755799755799,0.49627791563275436,0
New York Knicks,Chicago Bulls,119.0,108.15602836879432,106.02280826799715,105.49645390070923,108.69565217391303,0.5711610486891386,0.5653743823641202,0
Minnesota Timberwolves,Oklahoma City Thunder,104.0,89.28571428571428,109.61214165261384,105.51948051948052,92.7487352445194,0.48586572438162545,0.5659555942533739,1
Memphis Grizzlies,New Orleans Pelicans,105.0,107.41364785172702,108.15822002472189,110.57287278854253,105.06798516687267,0.5545889517181383,0.5143025078369906,1
Milwaukee Bucks,Orlando Magic,110.0,105.18790849673204,114.58333333333333,112.33660130718954,107.29166666666667,0.5259395424836601,0.5913978494623656,1
Houston Rockets,Portland Trail Blazers,121.0,108.6534730306558,113.08411214953271,117.38455568490494,104.67289719626167,0.5768438401318501,0.545045045045045,1
