home_team,visitor_team,visitor_points,home_points,visitor_fgm,home_fgm,visitor_ORtg,home_ORtg,visitor_DRtg,home_DRtg,total_points
Minnesota Timberwolves,New Orleans Pelicans,98.0,116.0,33.0,44.0,99.67453213995118,121.79756404871904,117.98209926769732,102.89794204115918,214.0
Sacramento Kings,Denver Nuggets,98.0,106.0,35.0,42.0,95.8528951486698,105.49363057324841,103.67762128325508,97.53184713375795,204.0
Miami Heat,Utah Jazz,102.0,103.0,37.0,40.0,108.74200426439234,112.2004357298475,109.80810234541578,111.11111111111111,205.0
Dallas Mavericks,New York Knicks,100.0,96.0,38.0,35.0,102.24948875255623,95.4653937947494,98.15950920245399,99.44311853619729,196.0
Phoenix Suns,Oklahoma City Thunder,100.0,114.0,40.0,39.0,101.7915309446254,122.42268041237112,116.04234527687296,107.38831615120274,214.0
Portland Trail Blazers,San Antonio Spurs,110.0,111.0,40.0,48.0,114.06055578598094,115.14522821576763,115.09746992948983,114.10788381742738,221.0
Los Angeles Lakers,Atlanta Hawks,113.0,132.0,41.0,48.0,103.5557184750733,121.10091743119267,120.96774193548387,103.6697247706422,245.0
Indiana Pacers,Milwaukee Bucks,96.0,109.0,34.0,44.0,98.07928075194116,113.77870563674321,111.36085002043319,100.20876826722338,205.0
Brooklyn Nets,Toronto Raptors,114.0,113.0,43.0,39.0,96.51202167287504,96.31776338220253,95.66542499153402,97.17013296965565,227.0
Minnesota Timberwolves,Cleveland Cavaliers,99.0,127.0,37.0,52.0,103.08204914618908,130.2831350020517,132.2365680966264,101.55929421419778,226.0
New Orleans Pelicans,Detroit Pistons,109.0,112.0,41.0,46.0,106.1550447993767,114.00651465798046,109.0767432800935,110.9527687296417,221.0
Chicago Bulls,Houston Rockets,116.0,107.0,39.0,40.0,114.21819614021267,104.98430141287285,105.35643954312721,113.81475667189953,223.0
Sacramento Kings,San Antonio Spurs,107.0,100.0,44.0,40.0,109.49652067130577,100.96930533117931,102.3331968890708,108.03715670436188,207.0
Golden State Warriors,Denver Nuggets,114.0,124.0,47.0,48.0,113.95441823270691,123.70311252992818,123.95041983206715,113.7270550678372,238.0
LA Clippers,Atlanta Hawks,107.0,108.0,38.0,38.0,103.12259059367773,105.92389172224401,104.08635312259058,104.94311494703805,215.0
Toronto Raptors,Miami Heat,90.0,89.0,39.0,35.0,95.33898305084745,94.08033826638479,94.27966101694915,95.13742071881607,179.0
Oklahoma City Thunder,Portland Trail Blazers,117.0,106.0,43.0,37.0,117.65888978278358,107.67980495733443,106.59694288012874,118.85412433969931,223.0
Dallas Mavericks,Orlando Magic,99.0,114.0,36.0,43.0,106.81916271040137,124.3455497382199,123.00388433318945,107.98429319371728,213.0
Los Angeles Lakers,Sacramento Kings,86.0,99.0,30.0,37.0,81.99847444698703,96.83098591549296,94.39359267734554,84.11580594679187,185.0
Washington Wizards,Utah Jazz,107.0,104.0,43.0,41.0,108.38735818476499,104.5436268596703,105.3484602917342,107.55930840369923,211.0
Indiana Pacers,Miami Heat,114.0,106.0,43.0,43.0,114.87303506650545,104.16666666666666,106.8117694478033,112.02830188679245,220.0
Charlotte Hornets,Dallas Mavericks,115.0,111.0,39.0,43.0,114.63317384370018,106.52591170825336,110.64593301435409,110.36468330134358,226.0
Brooklyn Nets,Detroit Pistons,114.0,80.0,48.0,27.0,113.6816912644595,83.68200836820084,79.77662544874352,119.24686192468621,194.0
New York Knicks,Chicago Bulls,122.0,119.0,45.0,48.0,108.15602836879432,106.02280826799715,105.49645390070923,108.69565217391303,241.0
Minnesota Timberwolves,Oklahoma City Thunder,88.0,104.0,32.0,39.0,89.28571428571428,109.61214165261384,105.51948051948052,92.7487352445194,192.0
Memphis Grizzlies,New Orleans Pelicans,102.0,105.0,34.0,37.0,107.41364785172702,108.15822002472189,110.57287278854253,105.06798516687267,207.0
Milwaukee Bucks,Orlando Magic,103.0,110.0,39.0,45.0,105.18790849673204,114.58333333333333,112.33660130718954,107.29166666666667,213.0
Houston Rockets,Portland Trail Blazers,112.0,121.0,40.0,45.0,108.6534730306558,113.08411214953271,117.38455568490494,104.67289719626167,233.0
Denver Nuggets,Atlanta Hawks,110.0,97.0,40.0,38.0,112.33660130718954,95.28487229862476,99.06045751633987,108.05500982318273,207.0
Golden State Warriors,LA Clippers,125.0,106.0,46.0,38.0,114.34321258690086,103.47520499804763,96.96304427369192,122.02264740335806,231.0
Philadelphia 76ers,Boston Celtics,114.0,103.0,43.0,38.0,109.23725565350708,97.24320241691842,98.69681870448449,107.62839879154077,217.0
Toronto Raptors,Cleveland Cavaliers,99.0,133.0,34.0,53.0,96.86888454011742,129.47819314641745,130.13698630136986,96.37850467289721,232.0
Sacramento Kings,LA Clippers,121.0,115.0,43.0,42.0,113.93596986817325,112.3924941360438,108.28625235404897,118.25645035183739,236.0
Los Angeles Lakers,San Antonio Spurs,81.0,93.0,31.0,36.0,84.72803347280336,96.71381031613977,97.28033472803348,84.23460898502496,174.0
Charlotte Hornets,Utah Jazz,88.0,99.0,28.0,32.0,94.50171821305841,102.1039603960396,106.31443298969072,90.75907590759074,187.0
Indiana Pacers,Cleveland Cavaliers,95.0,97.0,37.0,39.0,99.62248322147651,98.69759869759869,101.71979865771812,96.66259666259666,192.0
