visitor_fastBreakPoints,visitor_pointsInPaint,visitor_biggestLead,visitor_secondChancePoints,visitor_pointsOffTurnovers,visitor_longestRun,visitor_points,visitor_fgm,visitor_fga,visitor_fgp,visitor_ftm,visitor_fta,visitor_ftp,visitor_tpm,visitor_tpa,visitor_tpp,visitor_offReb,visitor_defReb,visitor_totReb,visitor_assists,visitor_pFouls,visitor_steals,visitor_turnovers,visitor_blocks,visitor_plusMinus,visitor_min,game_id,visitor_team,home_fastBreakPoints,home_pointsInPaint,home_biggestLead,home_secondChancePoints,home_pointsOffTurnovers,home_longestRun,home_points,home_fgm,home_fga,home_fgp,home_ftm,home_fta,home_ftp,home_tpm,home_tpa,home_tpp,home_offReb,home_defReb,home_totReb,home_assists,home_pFouls,home_steals,home_turnovers,home_blocks,home_plusMinus,home_min,home_team
,,,,,,122.0,44.0,96.0,45.8,17.0,18.0,94.4,17.0,44.0,38.6,13.0,22.0,35.0,25.0,21.0,9.0,10.0,2.0,-7,240:00,12844,Washington Wizards,,,,,,,129.0,47.0,88.0,94.4,23.0,29.0,79.3,12.0,29.0,41.4,14.0,35.0,49.0,29.0,19.0,9.0,16.0,8.0,7,240:00,Utah Jazz
,,,,,,128.0,48.0,95.0,50.5,17.0,20.0,85.0,15.0,38.0,39.5,12.0,36.0,48.0,32.0,15.0,14.0,13.0,6.0,20,240:00,11850,Washington Wizards,,,,,,,108.0,44.0,91.0,85.0,14.0,17.0,82.4,6.0,20.0,30.0,10.0,33.0,43.0,26.0,18.0,7.0,16.0,7.0,-20,240:00,Utah Jazz
,,,,,,142.0,53.0,88.0,60.2,13.0,16.0,81.3,23.0,41.0,56.1,6.0,41.0,47.0,38.0,21.0,9.0,17.0,7.0,32,240:00,13678,Washington Wizards,,,,,,,110.0,37.0,87.0,81.3,24.0,29.0,82.8,12.0,37.0,32.4,11.0,27.0,38.0,30.0,18.0,8.0,16.0,2.0,-32,240:00,Utah Jazz
,,,,,,130.0,49.0,92.0,53.3,20.0,24.0,83.3,12.0,34.0,35.3,8.0,40.0,48.0,30.0,20.0,10.0,8.0,8.0,25,240:00,11530,Washington Wizards,,,,,,,105.0,37.0,90.0,83.3,22.0,29.0,75.9,9.0,33.0,27.3,9.0,34.0,43.0,17.0,19.0,7.0,14.0,3.0,-25,240:00,Utah Jazz
,,,,,,129.0,44.0,95.0,46.3,27.0,36.0,75.0,14.0,38.0,36.8,21.0,40.0,61.0,26.0,20.0,5.0,11.0,6.0,22,240:00,12127,Washington Wizards,,,,,,,107.0,37.0,91.0,75.0,20.0,24.0,83.3,13.0,40.0,32.5,9.0,26.0,35.0,20.0,26.0,8.0,10.0,2.0,-22,240:00,Utah Jazz
,,,,,,130.0,46.0,85.0,54.1,22.0,27.0,81.5,16.0,36.0,44.4,11.0,29.0,40.0,25.0,24.0,6.0,18.0,10.0,6,240:00,12900,Washington Wizards,,,,,,,124.0,48.0,94.0,81.5,19.0,27.0,70.4,9.0,22.0,40.9,12.0,24.0,36.0,23.0,26.0,7.0,13.0,3.0,-6,240:00,Utah Jazz
,,,,,,121.0,49.0,90.0,54.4,10.0,15.0,66.7,13.0,38.0,34.2,6.0,42.0,48.0,36.0,13.0,9.0,16.0,8.0,8,240:00,13652,Washington Wizards,,,,,,,113.0,43.0,94.0,66.7,17.0,21.0,81.0,10.0,30.0,33.3,8.0,29.0,37.0,24.0,13.0,14.0,10.0,3.0,-8,240:00,Utah Jazz
6.0,48.0,9.0,6.0,15.0,10.0,110.0,42.0,93.0,45.2,15.0,22.0,68.2,11.0,38.0,28.9,13.0,35.0,48.0,28.0,25.0,3.0,13.0,6.0,-3,265:00,10533,Washington Wizards,11.0,50.0,6.0,13.0,15.0,10.0,113.0,43.0,93.0,46.2,15.0,23.0,65.2,12.0,33.0,36.4,15.0,32.0,47.0,27.0,27.0,7.0,12.0,2.0,3,265:00,Utah Jazz
3.0,40.0,5.0,9.0,26.0,23.0,101.0,37.0,92.0,40.2,13.0,15.0,86.7,14.0,44.0,31.8,9.0,31.0,40.0,21.0,17.0,8.0,14.0,3.0,-21,240:00,10650,Washington Wizards,17.0,54.0,29.0,9.0,21.0,23.0,122.0,44.0,88.0,50.0,22.0,25.0,88.0,12.0,33.0,36.4,9.0,45.0,54.0,30.0,19.0,10.0,15.0,4.0,21,240:00,Utah Jazz
,,,,,,113.0,42.0,91.0,46.2,15.0,22.0,68.2,14.0,32.0,43.8,10.0,30.0,40.0,23.0,25.0,4.0,14.0,6.0,-5,240:00,11106,Washington Wizards,,,,,,,118.0,45.0,91.0,68.2,20.0,25.0,80.0,8.0,22.0,36.4,10.0,36.0,46.0,22.0,20.0,6.0,12.0,12.0,5,240:00,Utah Jazz
,,,,,,112.0,37.0,86.0,43.0,31.0,38.0,81.6,7.0,32.0,21.9,14.0,28.0,42.0,18.0,22.0,2.0,11.0,4.0,-24,240:00,11119,Washington Wizards,,,,,,,136.0,55.0,97.0,81.6,14.0,18.0,77.8,12.0,29.0,41.4,10.0,35.0,45.0,31.0,26.0,5.0,7.0,8.0,24,240:00,Utah Jazz
,,,,,,120.0,47.0,90.0,52.2,16.0,23.0,69.6,10.0,29.0,34.5,14.0,28.0,42.0,36.0,20.0,9.0,17.0,6.0,-6,240:00,12697,Washington Wizards,,,,,,,126.0,45.0,87.0,69.6,24.0,26.0,92.3,12.0,33.0,36.4,10.0,31.0,41.0,28.0,19.0,9.0,14.0,7.0,6,240:00,Utah Jazz
,,,,,,122.0,44.0,86.0,51.2,21.0,31.0,67.7,13.0,33.0,39.4,11.0,34.0,45.0,27.0,18.0,7.0,21.0,8.0,1,240:00,14239,Washington Wizards,,,,,,,121.0,44.0,97.0,67.7,18.0,23.0,78.3,15.0,36.0,41.7,15.0,29.0,44.0,30.0,21.0,12.0,18.0,6.0,-1,240:00,Utah Jazz
,,,,,,143.0,54.0,121.0,44.6,16.0,24.0,66.7,19.0,59.0,32.2,23.0,46.0,69.0,34.0,23.0,9.0,19.0,6.0,2,240:00,11607,Washington Wizards,,,,,,,141.0,53.0,109.0,66.7,24.0,29.0,82.8,11.0,35.0,31.4,10.0,43.0,53.0,30.0,17.0,9.0,13.0,10.0,-2,240:00,Utah Jazz
,,,,,,134.0,51.0,91.0,56.0,16.0,22.0,72.7,16.0,33.0,48.5,11.0,38.0,49.0,26.0,18.0,6.0,10.0,9.0,22,240:00,13174,Washington Wizards,,,,,,,112.0,39.0,94.0,72.7,20.0,26.0,76.9,14.0,43.0,32.6,13.0,32.0,45.0,30.0,16.0,7.0,11.0,2.0,-22,240:00,Utah Jazz
,,,,,,120.0,47.0,101.0,46.5,12.0,18.0,66.7,14.0,40.0,35.0,9.0,45.0,54.0,36.0,17.0,10.0,15.0,7.0,23,240:00,14338,Washington Wizards,,,,,,,97.0,35.0,105.0,66.7,15.0,24.0,62.5,12.0,46.0,26.1,21.0,44.0,65.0,27.0,17.0,9.0,17.0,5.0,-23,240:00,Utah Jazz
11.0,48.0,11.0,22.0,16.0,13.0,110.0,43.0,90.0,47.8,10.0,13.0,76.9,14.0,41.0,34.1,14.0,33.0,47.0,27.0,22.0,4.0,16.0,1.0,-11,240:00,10667,Washington Wizards,7.0,56.0,18.0,20.0,18.0,13.0,121.0,46.0,89.0,51.7,15.0,19.0,78.9,14.0,37.0,37.8,12.0,32.0,44.0,27.0,18.0,11.0,11.0,4.0,11,240:00,Utah Jazz
,,,,,,141.0,55.0,114.0,48.2,17.0,22.0,77.3,14.0,43.0,32.6,16.0,41.0,57.0,27.0,20.0,5.0,8.0,4.0,7,240:00,13247,Washington Wizards,,,,,,,134.0,50.0,112.0,77.3,16.0,20.0,80.0,18.0,56.0,32.1,14.0,43.0,57.0,26.0,23.0,4.0,14.0,7.0,-7,240:00,Utah Jazz
,,,,,,127.0,47.0,100.0,47.0,17.0,25.0,68.0,16.0,41.0,39.0,13.0,32.0,45.0,27.0,15.0,7.0,11.0,8.0,8,240:00,13917,Washington Wizards,,,,,,,119.0,47.0,98.0,68.0,14.0,20.0,70.0,11.0,40.0,27.5,16.0,38.0,54.0,28.0,20.0,6.0,17.0,9.0,-8,240:00,Utah Jazz
,,,,,,117.0,45.0,90.0,50.0,20.0,24.0,83.3,7.0,25.0,28.0,4.0,34.0,38.0,30.0,18.0,12.0,9.0,5.0,10,240:00,11054,Washington Wizards,,,,,,,107.0,42.0,98.0,83.3,14.0,15.0,93.3,9.0,35.0,25.7,15.0,39.0,54.0,25.0,20.0,4.0,16.0,3.0,-10,240:00,Utah Jazz
,,,,,,122.0,40.0,88.0,45.5,28.0,37.0,75.7,14.0,41.0,34.1,9.0,32.0,41.0,25.0,18.0,7.0,11.0,8.0,9,240:00,13302,Washington Wizards,,,,,,,113.0,44.0,100.0,75.7,12.0,19.0,63.2,13.0,43.0,30.2,16.0,42.0,58.0,22.0,26.0,6.0,17.0,6.0,-9,240:00,Utah Jazz
14.0,40.0,23.0,17.0,16.0,16.0,130.0,45.0,87.0,51.7,19.0,24.0,79.2,21.0,38.0,55.3,13.0,37.0,50.0,29.0,19.0,4.0,12.0,4.0,16,240:00,10786,Washington Wizards,13.0,46.0,3.0,8.0,15.0,14.0,114.0,41.0,89.0,46.1,15.0,20.0,75.0,17.0,46.0,37.0,6.0,28.0,34.0,24.0,19.0,4.0,5.0,4.0,-16,240:00,Utah Jazz
,,,,,,128.0,41.0,87.0,47.1,34.0,41.0,82.9,12.0,35.0,34.3,22.0,37.0,59.0,25.0,29.0,9.0,22.0,4.0,6,240:00,11327,Washington Wizards,,,,,,,122.0,39.0,82.0,82.9,29.0,36.0,80.6,15.0,39.0,38.5,6.0,22.0,28.0,14.0,26.0,9.0,14.0,6.0,-6,240:00,Utah Jazz
,,,,,,127.0,44.0,89.0,49.4,23.0,23.0,100.0,16.0,34.0,47.1,8.0,29.0,37.0,25.0,23.0,4.0,9.0,6.0,-7,240:00,12919,Washington Wizards,,,,,,,134.0,47.0,91.0,100.0,23.0,28.0,82.1,17.0,40.0,42.5,12.0,32.0,44.0,31.0,18.0,4.0,12.0,3.0,7,240:00,Utah Jazz
13.0,48.0,0.0,18.0,13.0,10.0,112.0,37.0,93.0,39.8,28.0,33.0,84.8,10.0,31.0,32.3,18.0,25.0,43.0,22.0,16.0,10.0,13.0,4.0,-21,240:00,10381,Washington Wizards,5.0,56.0,35.0,8.0,19.0,9.0,133.0,52.0,90.0,57.8,12.0,16.0,75.0,17.0,33.0,51.5,10.0,33.0,43.0,36.0,26.0,8.0,14.0,7.0,21,240:00,Utah Jazz
4.0,50.0,2.0,20.0,12.0,9.0,128.0,46.0,89.0,51.7,21.0,26.0,80.8,15.0,35.0,42.9,15.0,28.0,43.0,23.0,21.0,7.0,15.0,4.0,-3,240:00,10581,Washington Wizards,5.0,50.0,19.0,10.0,23.0,9.0,131.0,46.0,84.0,54.8,22.0,24.0,91.7,17.0,38.0,44.7,9.0,27.0,36.0,27.0,21.0,9.0,11.0,3.0,3,240:00,Utah Jazz
,,,,,,143.0,53.0,96.0,55.2,22.0,25.0,88.0,15.0,30.0,50.0,15.0,27.0,42.0,33.0,14.0,10.0,13.0,8.0,13,240:00,12156,Washington Wizards,,,,,,,130.0,52.0,96.0,88.0,12.0,12.0,100.0,14.0,37.0,37.8,10.0,22.0,32.0,33.0,18.0,7.0,17.0,7.0,-13,240:00,Utah Jazz
,,,,,,152.0,57.0,95.0,60.0,23.0,28.0,82.1,15.0,31.0,48.4,12.0,27.0,39.0,28.0,23.0,8.0,15.0,4.0,-5,240:00,12751,Washington Wizards,,,,,,,157.0,57.0,94.0,82.1,21.0,28.0,75.0,22.0,45.0,48.9,7.0,22.0,29.0,35.0,25.0,7.0,14.0,11.0,5,240:00,Utah Jazz
,,,,,,108.0,40.0,89.0,44.9,17.0,23.0,73.9,11.0,30.0,36.7,12.0,16.0,28.0,25.0,13.0,14.0,15.0,2.0,-18,240:00,13081,Washington Wizards,,,,,,,126.0,53.0,79.0,73.9,9.0,12.0,75.0,11.0,18.0,61.1,10.0,35.0,45.0,41.0,21.0,12.0,27.0,9.0,18,240:00,Utah Jazz
,,,,,,131.0,47.0,89.0,52.8,22.0,31.0,71.0,15.0,39.0,38.5,12.0,31.0,43.0,35.0,23.0,14.0,20.0,2.0,1,240:00,14060,Washington Wizards,,,,,,,130.0,47.0,86.0,71.0,23.0,32.0,71.9,13.0,39.0,33.3,12.0,31.0,43.0,32.0,22.0,14.0,21.0,5.0,-1,240:00,Utah Jazz
15.0,50.0,18.0,16.0,18.0,10.0,132.0,47.0,86.0,54.7,21.0,26.0,80.8,17.0,35.0,48.6,13.0,27.0,40.0,32.0,19.0,11.0,13.0,4.0,9,240:00,10689,Washington Wizards,15.0,36.0,2.0,14.0,18.0,7.0,123.0,45.0,87.0,51.7,16.0,18.0,88.9,17.0,36.0,47.2,8.0,20.0,28.0,32.0,22.0,7.0,14.0,6.0,-9,240:00,Utah Jazz
,,,,,,129.0,47.0,92.0,51.1,22.0,27.0,81.5,13.0,35.0,37.1,7.0,42.0,49.0,28.0,16.0,3.0,13.0,2.0,15,240:00,11557,Washington Wizards,,,,,,,114.0,40.0,89.0,81.5,22.0,29.0,75.9,12.0,30.0,40.0,9.0,33.0,42.0,26.0,19.0,4.0,9.0,3.0,-15,240:00,Utah Jazz
,,,,,,111.0,40.0,101.0,39.6,24.0,29.0,82.8,7.0,30.0,23.3,19.0,32.0,51.0,24.0,22.0,8.0,12.0,9.0,-2,240:00,11682,Washington Wizards,,,,,,,113.0,41.0,94.0,82.8,15.0,21.0,71.4,16.0,33.0,48.5,14.0,36.0,50.0,26.0,22.0,6.0,14.0,9.0,2,240:00,Utah Jazz
,,,,,,116.0,42.0,86.0,48.8,14.0,18.0,77.8,18.0,49.0,36.7,7.0,30.0,37.0,36.0,26.0,5.0,13.0,8.0,4,240:00,12520,Washington Wizards,,,,,,,112.0,40.0,83.0,77.8,20.0,27.0,74.1,12.0,26.0,46.2,10.0,35.0,45.0,20.0,18.0,5.0,17.0,3.0,-4,240:00,Utah Jazz
,,,,,,150.0,60.0,94.0,63.8,11.0,13.0,84.6,19.0,39.0,48.7,8.0,31.0,39.0,50.0,24.0,12.0,16.0,3.0,34,240:00,13028,Washington Wizards,,,,,,,116.0,40.0,93.0,84.6,26.0,30.0,86.7,10.0,42.0,23.8,14.0,25.0,39.0,21.0,11.0,6.0,14.0,3.0,-34,240:00,Utah Jazz
